city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Беринговский,2017,1,-15.359782,22.362848,36.062847
Беринговский,2017,2,-13.62874,19.446354,31.08688
Беринговский,2017,3,-6.8561535,11.886711,19.672493
Беринговский,2017,4,-4.9745693,16.116129,24.56317
Беринговский,2017,5,-0.4139489,12.266405,18.86638
Беринговский,2017,6,6.049389,12.617373,19.143126
Беринговский,2017,7,10.630742,12.676126,19.27889
Беринговский,2017,8,10.747678,12.12516,18.31667
Беринговский,2017,9,6.3039722,12.5211735,19.882797
Беринговский,2017,10,-1.7640831,18.911493,30.389574
Беринговский,2017,11,-1.3405416,21.42622,34.197174
Беринговский,2017,12,-13.354809,20.120548,32.596367
Беринговский,2018,1,-10.162269,18.773722,30.997225
Беринговский,2018,2,-7.0836515,19.837664,32.17258
Беринговский,2018,3,-8.917108,20.980453,33.39729
Беринговский,2018,4,-4.1545696,20.704973,31.552727
Беринговский,2018,5,-1.5523899,13.767896,21.937527
Беринговский,2018,6,6.6769586,11.65225,17.849642
Беринговский,2018,7,10.437059,14.839791,21.363953
Беринговский,2018,8,9.901441,15.016003,22.834396
Беринговский,2018,9,9.361263,15.562201,24.512556
Беринговский,2018,10,1.0700566,21.287012,33.31221
Беринговский,2018,11,-8.306235,22.51136,36.350117
Беринговский,2018,12,-21.743116,22.412666,37.965294
Беринговский,2019,1,-18.427122,22.155748,35.257614
Беринговский,2019,2,-6.0199614,21.738588,34.979485
Беринговский,2019,3,-10.279406,23.136793,36.32225
Беринговский,2019,4,-6.7438745,18.429737,28.96575
Беринговский,2019,5,-0.4482903,13.209442,20.746546
Беринговский,2019,6,8.803278,12.167197,19.009008
Беринговский,2019,7,12.088404,13.26808,19.481712
Беринговский,2019,8,10.263471,15.390308,23.380468
Беринговский,2019,9,6.0047364,16.665768,26.359747
Беринговский,2019,10,-2.2060187,20.432064,31.995808
Беринговский,2019,11,-5.1172776,19.842812,31.408192
Беринговский,2019,12,-11.457295,23.2417,37.607788
Беринговский,2020,1,-13.373626,19.191576,31.282566
Беринговский,2020,2,-20.749428,21.192537,34.38595
Беринговский,2020,3,-8.367443,16.4745,26.783634
Беринговский,2020,4,-8.156375,16.18645,25.467564
Беринговский,2020,5,-1.1947957,17.763985,27.266134
Беринговский,2020,6,7.616611,11.205378,17.4449
Беринговский,2020,7,11.142704,12.1953125,18.1232
Беринговский,2020,8,10.15796,15.170756,22.951044
Беринговский,2020,9,5.5843887,13.904866,21.87059
Беринговский,2020,10,0.6515753,18.457758,29.222267
Беринговский,2020,11,-4.2376246,19.224613,31.020876
Беринговский,2020,12,-10.79708,22.230078,35.264336
Беринговский,2021,1,-18.588747,23.310255,36.829964
Беринговский,2021,2,-19.072416,24.209488,38.43281
Беринговский,2021,3,-15.317846,17.773901,28.51468
Беринговский,2021,4,-7.8506804,16.41831,26.358007
Беринговский,2021,5,-1.4025913,14.767438,22.996399
Беринговский,2021,6,4.746889,12.402292,19.01156
Беринговский,2021,7,9.577718,15.141918,22.879702
Беринговский,2021,8,8.543713,15.780054,24.014551
Беринговский,2021,9,3.545153,15.105575,23.516005
Беринговский,2021,10,-5.753868,17.272331,28.024624
Беринговский,2021,11,-11.596791,16.967766,28.937546
Беринговский,2021,12,-13.4905615,23.585308,38.989544
Беринговский,2022,1,-18.089352,20.702898,35.551155
Беринговский,2022,2,-18.026434,23.120785,39.179276
Беринговский,2022,3,-10.920064,16.505447,26.460924
Беринговский,2022,4,-4.875056,18.498533,28.878315
Беринговский,2022,5,1.2152851,14.699537,24.19587
Беринговский,2022,6,6.2237635,14.475342,20.885464
Беринговский,2022,7,8.369653,13.755241,20.499823
Беринговский,2022,8,9.758901,14.193876,21.543434
Беринговский,2022,9,5.185917,18.40143,28.401417
Беринговский,2022,10,-2.581086,16.008934,24.955091
Беринговский,2022,11,-7.8310976,18.867033,30.201189
Беринговский,2022,12,-8.143787,24.30599,38.151054
Беринговский,2023,1,-17.87544,22.76458,38.10603
Беринговский,2023,2,-20.234322,19.321964,32.922794
Беринговский,2023,3,-12.856421,16.517649,27.571968
Беринговский,2023,4,-10.587,15.719746,24.27937
Беринговский,2023,5,-1.0007097,12.475416,20.0517
Беринговский,2023,6,5.195083,13.84525,20.921457
Беринговский,2023,7,9.733363,12.486702,17.877636
Беринговский,2023,8,9.014882,16.122564,24.208443
Беринговский,2023,9,5.6530004,13.74286,20.980091
Беринговский,2023,10,1.0827581,15.507862,24.444105
Беринговский,2023,11,-6.6558447,20.8069,33.62043
